name_court,url_court,plaintiff,respondent,name_company,url_case,date,path,name_pdf
"09.03.2023
А19-4768/2023",https://kad.arbitr.ru/Card/6458e816-341e-467a-96d7-fa997fef10ce,"ООО ""Иркутская энергосбытовая компания""","ООО ""Группа компаний ""Ростикс""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/6458e816-341e-467a-96d7-fa997fef10ce/d0d47ab0-3978-4b9a-9a0d-10a1756c10ef/A19-4768-2023_20230613_Opredelenie.pdf,2023-06-13,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/09.03.2023
А19-4768/2023",A19-4768-2023_20230313_Opredelenie.pdf
"09.03.2023
А19-4768/2023",https://kad.arbitr.ru/Card/6458e816-341e-467a-96d7-fa997fef10ce,"ООО ""Иркутская энергосбытовая компания""","ООО ""Группа компаний ""Ростикс""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/6458e816-341e-467a-96d7-fa997fef10ce/c55d0fe3-5632-4072-a470-75a952d02b3f/A19-4768-2023_20230522_Opredelenie.pdf,2023-05-22,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/09.03.2023
А19-4768/2023",A19-4768-2023_20230313_Opredelenie.pdf
"09.03.2023
А19-4768/2023",https://kad.arbitr.ru/Card/6458e816-341e-467a-96d7-fa997fef10ce,"ООО ""Иркутская энергосбытовая компания""","ООО ""Группа компаний ""Ростикс""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/6458e816-341e-467a-96d7-fa997fef10ce/bc19e095-da64-4028-a81c-c427274e90cd/A19-4768-2023_20230424_Opredelenie.pdf,2023-04-24,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/09.03.2023
А19-4768/2023",A19-4768-2023_20230313_Opredelenie.pdf
"09.03.2023
А19-4768/2023",https://kad.arbitr.ru/Card/6458e816-341e-467a-96d7-fa997fef10ce,"ООО ""Иркутская энергосбытовая компания""","ООО ""Группа компаний ""Ростикс""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/6458e816-341e-467a-96d7-fa997fef10ce/43309b1f-b4bc-4dec-a71c-045891b30c5d/A19-4768-2023_20230327_Opredelenie.pdf,2023-03-27,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/09.03.2023
А19-4768/2023",A19-4768-2023_20230313_Opredelenie.pdf
"09.03.2023
А19-4768/2023",https://kad.arbitr.ru/Card/6458e816-341e-467a-96d7-fa997fef10ce,"ООО ""Иркутская энергосбытовая компания""","ООО ""Группа компаний ""Ростикс""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/6458e816-341e-467a-96d7-fa997fef10ce/2503801c-350e-4437-bc75-c92f2194ad94/A19-4768-2023_20230313_Opredelenie.pdf,2023-03-13,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/09.03.2023
А19-4768/2023",A19-4768-2023_20230313_Opredelenie.pdf
"19.09.2022
А19-19808/2022",https://kad.arbitr.ru/Card/23346238-4694-494d-8176-9fcefa4e3ca5,"ООО ""Группа компаний ""Ростикс""","ООО ""Иркутская энергосбытовая компания""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/23346238-4694-494d-8176-9fcefa4e3ca5/e1bbcfbb-f0a8-4c1e-97f8-11aa1bdc3ef8/A19-19808-2022_20230428_Postanovlenie_apelljacii.pdf,2023-04-28,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/19.09.2022
А19-19808/2022",A19-19808-2022_20220920_Opredelenie.pdf
"19.09.2022
А19-19808/2022",https://kad.arbitr.ru/Card/23346238-4694-494d-8176-9fcefa4e3ca5,"ООО ""Группа компаний ""Ростикс""","ООО ""Иркутская энергосбытовая компания""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/23346238-4694-494d-8176-9fcefa4e3ca5/fa0f6bb2-c0a4-4b0c-859d-ef2b41424b72/A19-19808-2022_20230425_Prochie_sudebnye_dokumenty.pdf,2023-04-25,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/19.09.2022
А19-19808/2022",A19-19808-2022_20220920_Opredelenie.pdf
"19.09.2022
А19-19808/2022",https://kad.arbitr.ru/Card/23346238-4694-494d-8176-9fcefa4e3ca5,"ООО ""Группа компаний ""Ростикс""","ООО ""Иркутская энергосбытовая компания""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/23346238-4694-494d-8176-9fcefa4e3ca5/c2a2187f-ceff-4381-a170-9cddc3138263/A19-19808-2022_20230403_Opredelenie.pdf,2023-04-03,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/19.09.2022
А19-19808/2022",A19-19808-2022_20220920_Opredelenie.pdf
"19.09.2022
А19-19808/2022",https://kad.arbitr.ru/Card/23346238-4694-494d-8176-9fcefa4e3ca5,"ООО ""Группа компаний ""Ростикс""","ООО ""Иркутская энергосбытовая компания""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/23346238-4694-494d-8176-9fcefa4e3ca5/e769c1fd-015d-4c2b-838c-6faeecbdb655/A19-19808-2022_20230329_Opredelenie.pdf,2023-03-29,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/19.09.2022
А19-19808/2022",A19-19808-2022_20220920_Opredelenie.pdf
"19.09.2022
А19-19808/2022",https://kad.arbitr.ru/Card/23346238-4694-494d-8176-9fcefa4e3ca5,"ООО ""Группа компаний ""Ростикс""","ООО ""Иркутская энергосбытовая компания""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/23346238-4694-494d-8176-9fcefa4e3ca5/b7bb2240-23cf-47d2-829a-a258e251f151/A19-19808-2022_20230227_Opredelenie.pdf,2023-02-27,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/19.09.2022
А19-19808/2022",A19-19808-2022_20220920_Opredelenie.pdf
"19.09.2022
А19-19808/2022",https://kad.arbitr.ru/Card/23346238-4694-494d-8176-9fcefa4e3ca5,"ООО ""Группа компаний ""Ростикс""","ООО ""Иркутская энергосбытовая компания""",Ростикс,https://kad.arbitr.ru/Kad/PdfDocument/23346238-4694-494d-8176-9fcefa4e3ca5/b3f13df1-823d-4332-92e1-90c35197e5f7/A19-19808-2022_20230110_Reshenija_i_postanovlenija.pdf,2023-01-10,"/home/oem/Documents/Projects/PythonProjects/parsing-lawsuits/pdf/Ростикс/19.09.2022
А19-19808/2022",A19-19808-2022_20220920_Opredelenie.pdf
